Country;Charter type code;Organisation Name;Erasmus code;Street;Postcode;City
ES;EUC;ESCUELA SUPERIOR DE CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES (ESCRBC);E  MADRID25;STREET GUILLERMO ROLLAND Nº 2;28013;MADRID
ES;EUCX;IES ISLAS FILIPINAS;E  MADRID89;C/ JESUS MAESTRO 3;28003;MADRID
ES;EUCP;IES EL LAGO;E  MADRID90;PASEO PUERTA DEL ÁNGEL S/N;28011;MADRID
ES;EUCP;CMARA OFICIAL DE COMERCIO E INDUSTRIA DE MADRID;E  MADRID91;C/ PEDRO SALINAS, 11;28043;MADRID
ES;EUCX;I. E. S. JUAN DE LA CIERVA;E  MADRID92;CAOBA 1;28005;MADRID
ES;EUCP;I.E.S. ROSA CHACEL (MADRID) ;E  MADRID93;ABIZANDA 70;28033;MADRID
ES;EUCX;IES HOTEL-ESCUELA;E  MADRID94;CARRETERA DE COLMENAR VIEJO KM 12,800;28049;MADRID
ES;EUCP;CIFP PROFESOR RAÚL VÁZQUEZ;E  MADRID95;CARRETERA DE VILLAVERDE A VALLECAS KM 4;28053;MADRID
ES;EUCP;NUESTRA SEÑORA DEL PILAR;E  MADRID97;CALLE SAN BENITO 6;28029;MADRID
ES;EUC;ESCUELA DE ARTE 4 DISEÑO DE INTERIORES;E  MADRID106;C/ALONDRA 3 LAS ROZAS;28231;MADRID
ES;EUCP;IES BARAJAS;E  MADRID107;AVENIDA DE AMERICA Nº 119;28042;MADRID
ES;EUCP;ESCUELA PROFESIONAL JAVERIANA;E  MADRID109;C/ ALBERTO AGUILERA 8;28015;MADRID
ES;EUCP;INSTITUTO DE ENSEÑANZA SECUNDARIA BEATRIZ GALINDO;E  MADRID110;C/GOYA Nº 10;28001;MADRID
ES;EUC;ESCUELA SUPERIOR DE CANTO DE MADRID;E  MADRID112;C/ SAN BERNARDO 44 ;28015;Madrid
ES;EUCX;UNIVERSIDAD INTERNACIONAL MENÉNDEZ PELAYO;E  MADRID113;ISAAC PERAL/23;28040;MADRID
ES;EUC;ESCUELA DE ARTE Nº 2 DE MADRID;E  MADRID120;C/ MARQUÉS DE CUBAS 15;28014;MADRID
ES;EUCP;IES C.M.RODRÍGUEZ DE VALCÁRCEL;E  MADRID122;PLAZA DEL ENCUENTRO Nº4;28030;MADRID
ES;EUCX;INSTITUTO DE EDUCACIÓN SECUNDARIA BARRIO DE BILBAO;E  MADRID124;STREET VILLAESCUSA S/N;28017;MADRID
ES;EUCX;IES CARLOS BOUSOÑO;E  MADRID125;C/ CARABELOS, 37, 4ºC;28041;MADRID
ES;EUCP;CENTRO DE ESTUDIOS PROFESIONALES ADMINISTRATIVOS Y LINGÜÍSTICOS;E  MADRID126;C/ JOSÉ ORTEGA Y GASSET, 87;28006;MADRID
ES;EUCX;IES LEONARDO DA VINCI;E  MADRID127;CALLE GENERAL ROMERO BASART, 90;28044;MADRID
ES;EUCP;IES PIO BAROJA;E  MADRID131;C/ TOLOSA 2,4;28041;MADRID
ES;EUCP;IES PARQUE ALUCHE;E  MADRID132;MAQUEDA, 86;28024;MADRID
ES;EUCP;I.E.S. MIRASIERRA;E  MADRID133;C/. Portera del Cura S/N;28034;MADRID
ES;EUCP;INSTITUTO DE ENSEÑANZA SECUNDARIA SAN BLAS;E  MADRID134;CALLE ARCOS DE JALÓN, 120;28037;MADRID
ES;EUCP;"INSTITUTO DE EDUCACION SECUNDARIA ""SANTA ENGRACIA""";E  MADRID135;C/. SANTA ENGRACIA, 13;28010;MADRID
ES;EUCP;COLEGIO SANTA ANA Y SAN RAFAEL (FEMDL);E  MADRID138;C/ DOCTOR ESQUERDO, 53;28028;MADRID
ES;EUCX;IES  RENACIMIENTO;E  MADRID141;C/ CASTELFLORITE 4;28019;MADRID
ES;EUCX;ESCUELA SUPERIOR DE DISEÑO DE MADRID;E  MADRID153;CALLE CAMINO DE LOS VINATEROS, 106;28030;MADRID
ES;EUCP;COLEGIO SALESIANO CIUDAD DE LOS MUCHACHOS;E  MADRID147;CALLE SANTA MARTA, 15;28038;MADRID
ES;EUCP;GREDOS SAN DIEGO LAS SUERTES;E  MADRID148;RAFAEL DE LEÓN, 10;28051;MADRID
ES;EUCX;I.E.S. CIUDAD DE JAÉN;E  MADRID149;CAMINO DEL RÍO, 25;28041;MADRID
ES;EUCX;"ESCUELA DE ARTE 12 ""DISEÑO INDUSTRIAL""";E  MADRID150;MAURICIO LEGENDRE,59;28046;MADRID
ES;EUCP;I.E.S. FRANCISCO DE QUEVEDO;E  MADRID151;C/SAN ROMÁN DEL VALLE S/N;28037;MADRID
ES;EUCP;FUNDACION VILLENA LA SALLE;E  MADRID152;AVENIDA CARDENAL HERRERA ORIA, 242;28035;MADRID
ES;EUCX;IES ENRIQUE TIERNO GALVÁN;E  MADRID146;AVDA. ANDALUCIA KM 6.200;28041;MADRID
ES;EUCX;ISTITUTO EUROPEO DI DESIGN MADRID;E  MADRID144;CALLE FLOR ALTA, 8;28004;MADRID
ES;EUCP;ESCUELA SUPERIOR DE PUBLICIDAD;E  MADRID156;CHURRUCA 14;28004;MADRID
ES;EUCP;IES MORATALAZ;E  MADRID157;C/ CORREGIDOR DIEGO DE VALDERRABANO Nº 35;28030;MADRID
ES;EUCX;ESCUELA DE ARTE 3;E  MADRID162;C/ ESTUDIOS Nº 1;28012;MADRID
ES;EUCP;IES PEDRO DE TOLOSA;E  MADRID163;C/ TENERIAS, Nº13. SAN MARTIN DE VALDEIGLESIAS;28680;MADRID
ES;EUCP;CENTRO ESPAÑOL DE NUEVAS PROFESIONES;E  MADRID166;C/ JOAQUIN MARIA LOPEZ 62;28015;MADRID
ES;EUCP;INSTITUTO DE EDUCACION SECUNDARIA VALDEHIERRO;E  TOLEDO11;CAMINO VIEJO DE TEMBLEQUE S/N;45710;MADRIDEJOS
DE;EUCX;OTTO-VON-GUERICKE-UNIVERSITAET MAGDEBURG;D  MAGDEBU01;Universitaetsplatz 2;39106;Magdeburg
DE;EUCX;HOCHSCHULE MAGDEBURG-STENDAL;D  MAGDEBU04;BREITSCHEIDSTRAßE 2;39114;MAGDEBURG
DE;EUCX;UNIVERSITAET KOBLENZ-LANDAU;D  KOBLENZ02;Isaac Fulda Allee 3;55124;Mainz
DE;EUCX;FACHHOCHSCHULE MAINZ - UNIVERSITY OF APPLIED SCIENCES;D  MAINZ08;Postfach 1967;55009;Mainz
DE;EUCX;JOHANNES GUTENBERG-UNIVERSITAET MAINZ;D  MAINZ01;SAARSTRASSE 21;55099;MAINZ
DE;EUCX;KATHOLISCHE HOCHSCHULE MAINZ;D  MAINZ05;SAARSTRAßE 3;55122;MAINZ
ES;EUCP;IES JUAN DE MAIRENA;E  SEVILLA40;Avenida de las Américas S/N ;41927;MAIRENA DEL ALJARAFE
ES;EUCP;IES LOS VIVEROS;E  SEVILLA13;MARIANA DE PINEDA 155;41927 ;MAIRENA DEL ALJARAFE.    SEVILLA
FR;EUCX;ECOLE NATIONALE VETERINAIRE D'ALFORT;F  MAISONS01;7 avenue du général de Gaulle;94704;MAISONS ALFORT CEDEX
FR;EUCP;LYCEE EUGENE DELACROIX;F  MAISONS02;5 RUE PIERRE CURIE;94700;MAISONS-ALFORT
ES;EUCX;IES SAN JUAN DE LA CRUZ;E  MADRID35;C/ PUERTO DE LOS LEONES, 11, 3ºB;28220;MAJADAHONDA
ES;EUCX;IES MARIA DE ZAYAS Y SOTOMAYOR;E  MADRID42;C/ ROMERO, 2;28220;MAJADAHONDA (MADRID)
ES;EUCX;UNIVERSIDAD DE MALAGA          ;E  MALAGA01;Pabellon de Gobierno Adjunto, Campus de El Ejido;29071;Malaga
ES;EUC;CONSERVATORIO SUPERIOR DE MUSICA DE MALAGA;E  MALAGA02;PZA MAESTRO ARTOLA 2;29013;MALAGA
ES;EUCX;ESCUELA SUPERIOR DE ARTE DRAMATICO DE MALAGA;E  MALAGA03;Alameda de Capuchinos nº 29;29014;MALAGA
ES;EUCP;"IES ""POLITECNICO JESUS MARIN""";E  MALAGA06;IMPERIO ARGENTINA, Nº 7, BL-15, 6ºB;29004;MALAGA
ES;EUCX;IES JARDINES PUERTA OSCURA;E  MALAGA12;CL  MIRAZUCENAS Nº 6;29011;MALAGA
ES;EUCX;INSTITUTO ENSEÑANZA SECUNDARIA MAYORAZGO;E  MALAGA13;LAS ESPUELAS, 12;29016;MALAGA
ES;EUCP;IES UNIVERSIDAD LABORAL DE MÁLAGA;E  MALAGA26;JULIO VERNE 6;29191;MALAGA
ES;EUCP;CENTRO DE EDUCACION SECUNDARIA SAN JOSE. FUNDACION LOYOLA ANDALUCIA Y CANARIAS;E  MALAGA27;VIRGEN DE LAS FLORES, 23;29007;MALAGA
ES;EUCP;IES CAMPANILLAS;E  MALAGA29;FAUSTO, 45;29590;MALAGA
ES;EUCP;SAFA-ICET(SAGRADA FAMILIA-ICET);E  MALAGA31;BANDA DEL MAR 1(STREET);29018;MALAGA
ES;EUCX;"IES ""CANOVAS DEL CASTILLO""";E  MALAGA04;C/ SAN MILLÁN, 12;29013;MÁLAGA
ES;EUCX;CES. SANTA MARÍA DE LOS ÁNGELES;E  MALAGA05;PLAZA PÍO XII, 2;29007;MÁLAGA
ES;EUCP;I.E.S. MIGUEL ROMERO ESTEO;E  MALAGA08;C/ CIUDAD DE ANDUJAR 14, 10º D;29006;MÁLAGA
ES;EUCX;IES SANTA BÁRBARA;E  MALAGA16;AVENIDA DE EUROPA, 128;29003;MÁLAGA
ES;EUCP;IES GUADALPIN;E  MALAGA18;C/ CÉLEBES TIMUR, 4;29190;MÁLAGA
ES;EUCX;IES JACARANDA;E  MALAGA19;C/ JALÓN Nº 12 2ª A;29004;MÁLAGA
ES;EUC;CONSERVATORIO SUPERIOR DE DANZA DE MÁLAGA;E  MALAGA21;CERROJO, 5;29007;MÁLAGA
ES;EUCP;CDP SAN BARTOLOMÉ;E  MALAGA22;EDUARDO DOMÍNGUEZ ÁVILA,19;29014;MÁLAGA
FR;EUCP;CENTRE L'HORIZON;F  PARIS380;6 RUE PAUL BERT;92240;MALAKOFF
FR;EUCX;Ecole Nationale de la Statistique et de l'Administration Economique;F  ANTONY03;3, avenue Pierre Larousse;92245;Malakoff cedex
TR;EUCX;INONU UNIVERSITESI;TR MALATYA01;Inonu Universitesi AB Ofisi;44280;Malatya
SE;EUCX;MALMÖ HÖGSKOLA;S  MALMO01;Norra Neptunigatan 1;S-205 06;MALMÖ
TR;EUCX;T.C. MALTEPE UNIVERSITESI;TR ISTANBU18;Marmara Egitim Koyu - Basibuyuk;34857;Maltepe-Istanbul
FR;EUCP;CPS-IREO DE MALTOT;F  CAEN15;LE CHATEAU;14930;MALTOT
ES;EUCX;IES NA CAMEL·LA;E  PALMA23;PASSEIG ANTONI MAURA, 87;07500;MANACOR
ES;EUCP;IES MOSSÈN ALCOVER;E  PALMA32;RONDA INSTITUT ,S/N;07500;MANACOR
UK;EUCX;THE UNIVERSITY OF MANCHESTER;UK MANCHES01;International Development Division, Oxford Road;M13 9PL;MANCHESTER
UK;EUCX;THE MANCHESTER METROPOLITAN UNIVERSITY;UK MANCHES04;MMU International, All Saints, Oxford Road;M15 6BH;Manchester
UK;EUCX;ROYAL NORTHERN COLLEGE OF MUSIC;UK MANCHES10;124 Oxford Road;M13 9RD;MANCHESTER
TR;EUCX;CELAL BAYAR UNIVERSITESI;TR MANISA01;Istasyon Mevkii;45040;Manisa
ES;EUCP;"INSTITUTO DE ENSEÑANZA SECUNDARIA ""PERE BOÏL""";E  VALENCI30;C/ CERAMISTA ALFONS BLAT, 20;46940;MANISES
ES;EUCX;ESCOLA SUPERIOR DE CERÀMICA DE MANISES,VALENCIA;E  VALENCI25;22 ALFONS BLAT ROAD;46940;MANISES-VALENCIA 
DE;EUCX;UNIVERSITAET MANNHEIM ;D  MANNHEI01;Schloss;68131;MANNHEIM
DE;EUCX;HOCHSCHULE MANNHEIM;D  MANNHEI03;Paul-Wittsack-Strasse 10;68163;Mannheim
DE;EUCX;BERUFSAKADEMIE MANNHEIM;D  MANNHEI08;Coblitzweg 7;68163;Mannheim
DE;EUC;STAATLICHE HOCHSCHULE FÜR MUSIK UND DARSTELLENDE KUNST MANNHEIM;D  MANNHEI02;N 7, 18;68161;Mannheim
DE;EUCX;POPAKADEMIE BADEN-WÜRTTEMBERG;D  MANNHEI09;hafenstr.33;68159;Mannheim
DE;EUCX;HOCHSCHULE DER BUNDESAGENTUR FÜR ARBEIT;D  MANNHEI06;SECKENHEIMER LANDSTR. 16;68163;MANNHEIM
CH;EUCX;SCUOLA UNIVERSITARIA PROFESSIONALE DELLA SVIZZERA ITALIANA;CH LUGANO02;SUPSI CLIR, PALAZZO E;CH-6928;MANNO
ES;EUCX;INSTITUT LACETANIA;E  BARCELO37;AV. BASES DE MANRESA, 51-59;08240;MANRESA
ES;EUCP;IES AZUER;E  CIUDA-R10;CARRETERA DE LA SOLANA, 77;13200;MANZANARES
ES;EUCX;IES PASQUAL CALBÓ I CALDÉS;E  PALMA08;C/ Francesc F. Andreu, 1;07703;MAÓ
ES;EUCX;IES JOAN RAMIS I RAMIS;E  PALMA28;VIVES LLULL, 15;07703;MAÓ
ES;EUCP;IES CAP DE LLEVANT;E  PALMA29;C/ FRANCESC F. ANDREU, 2;07703;MAÓ
DE;EUCX;PHILIPPS-UNIVERSITAET MARBURG;D  MARBURG01;Deutschhausstr. 11+13;35032;MARBURG
DE;EUC;EVANGELISCHE HOCHSCHULE TABOR;D  MARBURG03;DUERERSTRASSE 43;35039;MARBURG
FR;EUCX;VETAGRO SUP INSTITUT D'ENSEIGNEMENT SUPÉRIEUR ET DE RECHERCHE EN ALIMENTATION, SANTÉ ANIMALE, SCIENCES AGR ET ENVIRONN  ;F  LYON104 ;1 AV. BOURGELAT;69280;MARCY  L' ÉTOILE
FR;EUCX;CFA DE LA CCI DE NIMES;F  NIMES18;90, ALLÉE JACQUES CARTIER;F-30320;MARGUERITTES
SI;EUCX;UNIVERZA V MARIBORU;SI MARIBOR01;Slomskov trg 15;2000;Maribor
SI;EUCX;DOBA FAKULTETA ZA UPORABNE POSLOVNE IN DRUŽBENE ŠTUDIJE  MARIBOR;SI MARIBOR02;Presernova ulica 1;2000;Maribor
SI;EUCX;VIŠJA STROKOVNA ŠOLA ZA GOSTINSTVO IN TURIZEM MARIBOR;SI MARIBOR03;ZAGREBŠKA CESTA 18;2000;MARIBOR
SI;EUCX;LESARSKA SOLA MARIBOR - VISJA STROKOVNA SOLA;SI MARIBOR04;LESARSKA UL. 2;2000;MARIBOR
SI;EUCX;IZOBRAŽEVALNI CENTER PIRAMIDA MARIBOR;SI MARIBOR05;PARK MLADIH 3;2000;MARIBOR
SI;EUCP;DOBA VIŠJA STROKOVNA ŠOLA;SI MARIBOR06;PREŠERNOVA ULICA 1;2000;MARIBOR
SI;EUCX;VIŠJA STROKOVNA ŠOLA ACADEMIA;SI MARIBOR07;VIŠJA STROKOVNA ŠOLA ACADEMIA, GLAVNI TRG 17B;2000;MARIBOR
SI;EUCX;PROMETNA SOLA MARIBOR, VISJA PROMETNA SOLA;SI MARIBOR08;PRERADOVICEVA ULICA 33;2000;MARIBOR
SI;EUC;EVROPSKO SREDIŠČE MARIBOR, ESM;SI MARIBOR10;GOSPOSKA ULICA 1;2000;MARIBOR
SI;EUCP;TEHNIŠKI ŠOLSKI CENTER MARIBOR, VIŠJA STROKOVNA ŠOLA;SI MARIBOR13;ZOLAJEVA ULICA 12 ;2000;MARIBOR
FI;EUCX;HÖGSKOLAN PÅ ÅLAND ;SF MARIEHA04;PO Box 1010;22111;MARIEHAMN
LT;EUCX;MARIJAMPOLE COLLEGE;LT MARIJAM01;V.KUDIRKOS 61/SODZIAUS 1;68303;MARIJAMPOLE
ES;EUCP;IES CHAN DO MONTE;E  PONTEVE04;CHAN DO MONTE 23;36911;MARIN
UK;EUC;MARKFIELD INSTITUTE OF HIGHER EDUCATION;UK LEICEST03;RATBY LANE;LE67 9SY;MARKFIELD
ES;EUCX;LEA ARTIBAI IKASTETXEA;E  BILBAO41;Xemein Etorbidea, 19;48270;Markina-Xemein
FR;EUCP;LYCEE DES METIERS DE LA PLASTURGIE VAL DE GARONNE;F  MARMAND03;RUE EJEA DE LOS CABALLEROS;47200;MARMANDE
FR;EUCX;UTEC-HRT HÔTELLERIE RESTAURATION TOURISME;F  PARIS346;Boulevard Olof Palme  Emerainville;77 436;MARNE LA VALLÉE
FR;EUCX;ECOLE NATIONALE DES PONTS ET CHAUSSEES;F  PARIS085;6 et 8 avenue Blaise Pascal;77455;Marne la Vallee Cedex 2
FR;EUCX;UNIVERSITE DE MARNE-LA-VALLEE ;F  PARIS225;Cite Descartes, 5 Boulevard Descartes;77454;MARNE LA VALLEE CEDEX 2
FR;EUCX;ECOLE NATIONALE DES SCIENCES GEOGRAPHIQUES;F  ST-MAND01;6-8 Avenue Blaise Pascal  Cite Descartes - Champs sur Marne;77455 ;Marne-la-Vallee Cedex 2
FR;EUCX;ECOLE D'ARCHITECTURE DE LA VILLE ET DES TERRITOIRES ;F  PARIS318;10/12 AVENUE BLAISE PASCAL;77420;MARNELAVALLÉE CEDEX 2
FR;EUCX;ECOLE SUPERIEURE DE COMMERCE INTERNATIONAL;F  AV-FONT01;50 rue de la Maison Rouge - Lognes;77437;MARNE-LA-VALLÉE CEDEX 2
FR;EUCP;LPP SAINTE THÉRÈSE;F  ROUEN35;34 RUE FERDINAND CARTIER;76150;MAROMME
FR;EUCX;Centrale Marseille;F  MARSEIL11;Technopole de Chateau-Gombert 38 rue Frederic Joliot-Curie;13451 cedex 20;Marseille
FR;EUCX;LYCEE TECHNIQUE PERRIMOND;F  MARSEIL77;244 ch du roucas blanc;13007;marseille
FR;EUCX;INSTITUT UNIVERSITAIRE DE FORMATION DES MAITRES DE L'ACADEMIE D'AIX-MARSEILLE;F  MARSEIL57;33 rue Eugene Cas;13248 Marseille Cedex 04;Marseille
FR;EUCP;IICC-MODE;F  MARSEIL87;2 BOULEVARD DE LA LIBERATION;13001;MARSEILLE
FR;EUCX;INSTITUT MÉDITERRANÉEN DE FORMATION ET RECHERCHE EN TRAVAIL SOCIAL (IMF);F  MARSEIL59;rue Ferdinand Rey, 16;13006;Marseille
FR;EUCP;LYCÉE JEAN PERRIN;F  MARSEIL09;74 RUE VERDILLON;13010;MARSEILLE
FR;EUCP;L.T.P. LYCÉE TECHNOLOGIQUE ET PROFESSIONNEL DON BOSCO MARSEILLE;F  MARSEIL81;78, RUE STANISLAS TORRENTS;13006;MARSEILLE
FR;EUCX;EGC MEDITERRANEE - CAMPUS MARSEILLE;F  MARSEIL82;1 rue Saint Sébastien;13006;MARSEILLE
FR;EUCX;AXE SUD;F  MARSEIL83;Boulevard Romain Rolland 343;13009;Marseille
FR;EUCX;LYCEE TECHNIQUE PRIVE MAXIMILIEN DE SULLY;F  MARSEIL88;150 BOULEVARD DE LA LIBÉRATION;13004;MARSEILLE
FR;EUCP;LYCEE MARIE CURIE;F  MARSEIL06;16 BD JEANNE D'ARC;13005;MARSEILLE
FR;EUC;COLLÈGE OSTÉOPATHIQUE DE PROVENCE;F  MARSEIL89;RUE LOUIS GROBET,50;13001;MARSEILLE
FR;EUCP;LYCEE DENIS DIDEROT;F  MARSEIL10;23, BOULEVARD LAVERAN;13013;MARSEILLE
FR;EUCX;INSTITUT CATHOLIQUE DE FORMATION PÉDAGOGIQUE SAINT-CASSIEN;F  MARSEIL91;INSTITUT  SAINT-CASSIEN,63 AVENUE DES ROCHES;13007;MARSEILLE
FR;EUCP;LYCEE VICTOR HUGO;F  MARSEIL92;BD GUSTAVE DESPLACES;13003;MARSEILLE
FR;EUCX;ISRP RÉGION;F  MARSEIL93;13 RUE CHAPE;13004;MARSEILLE
FR;EUCX;LTP CHARLES PEGUY;F  MARSEIL95;102 106 RUE SYLVABELLE;13006;MARSEILLE
FR;EUCP;LYCÉE DES MÉTIERS JEAN-BAPTISTE BROCHIER ;F  MARSEIL97;9, BOULEVARD MIREILLE LAUZE;13010;MARSEILLE
FR;EUCX;EUROMED MANAGEMENT;F  MARSEIL94;DOMAINE DE LUMINY - BP 921;13288;MARSEILLE - CEDEX 9 
FR;EUCX;EFGC EMD ECOLE DE MANAGEMENT;F  MARSEIL90;RUE GASTON BERGER - BP 516;13422;MARSEILLE CEDEX 10
FR;EUCP;LYCÉE SAINT-EXUPÉRY;F  MARSEIL96;529, CHEMIN DE LA MADRAGUE VILLE;13326;MARSEILLE CEDEX 15
FR;EUC;ECOLE SUPERIEURE D'ART ET DE DESIGN MARSEILLE-MEDITERRANEE;F  MARSEIL51;184 avenue de Luminy;13288;MARSEILLE CEDEX 9
FR;EUC;ECOLE NATIONALE SUPERIEURE D'ARCHITECTURE DE MARSEILLE-LUMINY;F  MARSEIL17;184 avenue de luminy case 924;13288;marseille cedex 9
FR;EUCX;IRTS PACA et CORSE;F  MARSEIL56;20 boulevard des salyens BP 133;13267;MARSEILLE CEDX 08
FR;EUCP;LYCÉE POLYVALENT PAUL LANGEVIN;F  MARTIGU01;BP19;13691;MARTIGUES CEDEX
ES;EUCX;IES JOAN ORO;E  BARCELO49;Feliu Duran i Canyameres, 7;08760;Martorell
ES;EUCP;IES SAN JUAN BOSCO;E  JAEN02;AGUA NR 18;23600;MARTOS - JAEN
FR;EUCP;"LYCÉE D'ENSEIGNEMENT AGRICOLE ""TERRE NOUVELLE""";F  MARVEJO02;18 ROUTE DU MAZET;48100;MARVEJOLS
ES;EUCP;IES MASSAMAGRELL;E  VALENCI32;AV/NÀQUERA, 25;46130;MASSAMAGRELL (VALÈNCIA)
FR;EUCP;LYCÉE PARC DE VILGÉNIS;F  VERSAIL16;80 RUE DE VERSAILLES;91300;MASSY
ES;EUCX;FUNDACIÓ TECNOCAMPUS MATARÓ-MARESME;E  MATARO01;Avda. Ernest Lluch 32;08302;MATARÓ
ES;EUCP;INSTITUT THOS I CODINA;E  BARCELO110;RIERA DE CIRERA, 57;08304;MATARÓ
IT;EUCX;"Conservatorio Statale di Musica ""E.R. Duni"" di Matera";I  MATERA01;Piazza Sedile, 1;75100;Matera
PT;EUCX;INSTITUTO PORTUGUÊS DE ADMINISTRAÇÃO DE MARKETING - IPAM;P  PORTO29;AV. DA REPÚBLICA,Nº 594;4450-238;MATOSINHOS
FR;EUCP;LYCEE NOTRE DAME DE GRACE;F  VALENCI16;13 RUE DE LA CROIX - BP 50127;59602;MAUBEUGE CEDEX
FR;EUCP;LYCÉE PRIVÉ D'ENSEIGNEMENT AGRICOLE LE BUAT;F  PARIS405;3 IMPASSE DE BEULLE ;78580;MAULE
FR;EUCP;CENTRE DE FORMATION DES APPRENTIS INDUSTRIE;F  MAXEVIL02;10,RUE ALFRED KASTLER;54320;MAXEVILLE
FR;EUCP;LYCEE ROCHEFEUILLE;F  NANTES54;ROUTE DE CAEN;53 100;MAYENNE
IE;EUCX;NATIONAL UNIVERSITY OF IRELAND,  MAYNOOTH;IRLMAYNOOT01;INTERNATIONAL OFFICE;N/A;MAYNOOTH, CO. KILDARE
FR;EUCP;LGT PIERRE DE COUBERTIN;F  MEAUX05;2 CHAUSSEE DE PARIS;77100;MEAUX
BE;EUCX;THOMAS MORE MECHELEN;B  MECHELE14;Zandpoortvest, 31;2800;MECHELEN
ES;EUCP;CENTRO ESPECÍFICO DE FORMACIÓN PROFESIONAL DE MEDINA DEL CAMPO;E  VALLADO25;AVENIDA DE PORTUGAL 58;47400;MEDINA DEL CAMPO
DE;EUCX;FACHHOCHSCHULE DER SÄCHSISCHEN VERWALTUNG MEIßEN;D  MEISSEN01;HERBERT-BÖHME-STRAßE 11;01662;MEIßEN
TR;EUCX;NUH NACI YAZGAN UNIVERSITY;TR KAYSERI03;Cumhuriyet Mah. İnönü Bulvarı No: 77;38040;MELIKGAZI / KAYSERİ
ES;EUCP;"INTITUTO DE EDUCACIÓN SECUNDARIA ""LEOPOLDO QUEIPO""";E  MELILLA01;CTE GARCIA MORATO 13 ATICO-A;52006;MELILLA
CZ;EUCX;ČESKÁ ZAHRADNICKÁ AKADEMIE MĚLNÍK - STŘEDNÍ ŠKOLA A VYŠŠÍ ODBORNÁ ŠKOLA, PŘÍSPĚVKOVÁ ORGANIZACE;CZ MELNIK01;Na Polabi 411;276 01;MELNIK
FR;EUCX;LYCEE CHAPTAL- SECTION TOURISME;F  MENDE03;19 avenue Paulin Daude;48001;MENDE CEDEX
FR;EUCP;LYCÉE PIERRE ET MARIE CURIE;F  MENTON01;353, AVENUE DOYEN LÉPINE;06500;MENTON
FR;EUCP;ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLE DE MERDRIGNAC;F  MERDRI01;6 RUE DU PORHOET;22230;MERDRIGNAC
ES;EUCP;"INSTITUTO ENSEÑANZA SECUNDARIA ""SÁENZ DE BURUAGA""";E  BADAJOZ11;AVDA. DE LAS AMÉRICAS S/N.;06800;MÉRIDA
ES;EUCX;ESCUELA DE ARTE Y SUPERIOR DE DISEÑO DE MÉRIDA;E  MERIDA01;Paseo de Artes y Oficios S/N;06800;MÉRIDA
ES;EUCP;I.E.S.ALBARREGAS;E  BADAJOZ05;CAMINO VIEJO DE MIRANDILLA, S/N;06800;MÉRIDA (BADAJOZ)
TR;EUC;AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ;TR AGRI01;ERZURUM YOLU UZERI;04100;MERKEZ
TR;EUC;BINGOL UNIVERSITESI;TR BINGOL01;BINGOL UNIVERSITESI REKTORLUGU;12000;MERKEZ
DE;EUCX;HOCHSCHULE MERSEBURG (FH);D  MERSEB02;Geusaer Str. 88;06217;MERSEBURG
TR;EUCX;MERSIN UNIVERSITESI - MEU;TR MERSIN01 ;Ciftlikkoy Kampusu, Dis Iliskiler Sb. Mud. Yenisehir;33343;Mersin
TR;EUC;CAG ÜNIVERSITESI;TR MERSIN02;Adana-Mersin karayolu uzeri, Yenice;33800;MERSIN
TR;EUC;TOROS ÜNİVERSİTESİ;TR MERSIN04;BAHÇELIEVLER, 1857 SOKAK N0 12, YENIŞEHIR;33140;MERSIN
FR;EUCP;LYCÉE FORESTIER MESNIÈRES;F  MESNIER01;CHÂTEAU DE MESNIÈRES;76270;MESNIÈRES-EN-BRAY
IT;EUCX;UNIVERSITA' DEGLI STUDI DI MESSINA ;I  MESSINA01;Piazza S. Pugliatti n. 1;98122;Messina
IT;EUC;CONSERVATORIO STATALE DI MUSICA ARCANGELO CORELLI MESSINA;I  MESSINA04;VIA FOSSATA,19;98121;MESSINA
GR;EUCX;TECHNOLOGIKO EKPEDEFTIKO IDRIMA - MESSOLONGHIOU;G  MESOLO01;INTERNATIONAL RELATIONS OFFICE NEA KTIRIA;30200;MESSOLONGI
FI;EUCX;METROPOLIA AMMATTIKORKEAKOULU;SF HELSINK41;PO Box 4000 ;00079;METROPOLIA
FR;EUCX;INSTITUT DE FORMATION EN SOINS INFIRMIERS, CROIX ROUGE FRANCAISE;F  METZ26;14 rue du General Lapasset;57 070 ;METZ
FR;EUCX;CENTRE DE FORMATION PEDAGOGIQUE LORRAINE ALSACE;F  METZ21;6,boulevard Paixhans;57070;Metz
FR;EUCP;LYCEE DE LA SALLE;F  METZ27;2 RUE SAINT MAXIMIN;57070;METZ
FR;EUCX;ÉCOLE SUPÉRIEURE D'ART DE LORRAINE;F  METZ32;1, RUE DE LA CITADELLE;57000;METZ
FR;EUCX;INSTITUT DE FORMATION EN SOINS INFIRMIERS DU CENTRE HOSPITALIER DE JURY-LES-METZ;F  METZ28;BP 91084 ;57038;METZ CEDEX
FR;EUCX;ECOLE NATIONALE D'INGENIEURS DE METZ;F  METZ05;Ile du Saulcy;57045;METZ CEDEX 1
